TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0001,Simple daily activity statement,M,Mama adha campus yanne cricket practice eka nisaa,මම අද campus යන්නෙ cricket practice එක නිසා,මම අද campus යන්නෙ cricket practice එක නිසා,Pass,• Sentence meaning is correctly preserved.,• Daily language usage
,,,,,,,• Sinhala grammar and word order are accurate.,• Simple sentence
,,,,,,,• English sports terms remain readable.,• M (31–299 characters)
,,,,,,,• No unexpected character loss observed.,• Accuracy validation
Pos_Fun_0002,Tourism planning statement,M,Api nuwara eliya trip ekak plan karanavaa.,අපි නුවර එලිය trip එකක් plan කරනවා.,අපි නුවර එලිය trip එකක් plan කරනවා.,Pass,• Place reference is preserved correctly.,• Names / places / common English words
,,,,,,,• Sentence structure remains intact.,• Simple sentence
,,,,,,,• Mixed English words do not disrupt conversion.,• M (31–299 characters)
,,,,,,,• Punctuation is preserved as expected.,• Accuracy validation
Pos_Fun_0003,Compound sentence with weather disruption,M,"Api galle giyaa, namuth vaessa nisaa beach ekata yanna baeri unaa","අපි galle ගියා, නමුත් වැස්ස නිසා beach එකට යන්න බැරි උනා","අපි galle ගියා, නමුත් වැස්ස නිසා beach එකට යන්න බැරි උනා",Pass,• Compound structure is preserved correctly.,• Daily language usage
,,,,,,,• Contrast connector is converted accurately.,• Compound sentence
,,,,,,,• Key meaning (rain causing change in plan) is preserved.,• M (31–299 characters)
,,,,,,,• English place/activity words remain readable.,• Accuracy validation
Pos_Fun_0004,Study-related compound sentence,M,"Mama paadam karaa, ehema unath exam eka amaruyi","මම පාඩම් කරා, එහෙම උනත් exam එක අමරුයි","මම පාඩම් කරා, එහෙම උනත් exam එක අමරුයි",Pass,• Academic context is preserved.,• Daily language usage
,,,,,,,• Connector phrase is converted correctly.,• Compound sentence
,,,,,,,• English term 'exam' remains readable.,• M (31–299 characters)
,,,,,,,• No punctuation or spacing issues observed.,• Accuracy validation
Pos_Fun_0005,Invitation using reported speech,M,"Oyaa enna kivvaa, ehema nam api film eka balamu","ඔයා එන්න කිව්වා, එහෙම නම් අපි film එක බලමු","ඔයා එන්න කිව්වා, එහෙම නම් අපි film එක බලමු",Pass,• Reported speech is converted correctly.,• Greeting / request / response
,,,,,,,• Sentence flow remains natural.,• Compound sentence
,,,,,,,• Informal invitation tone is preserved.,• M (31–299 characters)
,,,,,,,• Word segmentation remains correct.,• Accuracy validation
Pos_Fun_0006,Conditional celebration after match,M,Oyaa match eka dhinnoth api adha raee celebrate karamu,ඔයා match එක දින්නොත් අපි අද රෑ celebrate කරමු,ඔයා match එක දින්නොත් අපි අද රෑ celebrate කරමු,Pass,• Conditional clause is converted correctly.,• Daily language usage
,,,,,,,• Time expression is preserved.,• Complex sentence
,,,,,,,• Sports context meaning is maintained.,• M (31–299 characters)
,,,,,,,• No unwanted English substitution observed.,• Accuracy validation
Pos_Fun_0007,Traffic-based conditional lateness,M,Traffic godak thibboth mama late venavaa,Traffic ගොඩක් තිබ්බොත් මම late වෙනවා,Traffic ගොඩක් තිබ්බොත් මම late වෙනවා,Pass,• Conditional structure is preserved.,• Daily language usage
,,,,,,,• English loanwords remain readable.,• Complex sentence
,,,,,,,• Meaning is clear and accurate.,• M (31–299 characters)
,,,,,,,• No spelling distortions observed.,• Accuracy validation
Pos_Fun_0008,Informal travel/outing question,M,Oyaa adha evening galle face ekata yanna inne,ඔයා අද evening galle face එකට යන්න ඉන්නේ,ඔයා අද evening galle face එකට යන්න ඉන්නේ,Pass,• Question intent is preserved.,• Greeting / request / response
,,,,,,,• Word order is correct in Sinhala.,• Interrogative (question)
